,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,
145,Terrence Wilkins,IND,WR,25,14,7,0,0,0,0,0,3,8,2.67,0,67,43,569,13.23,3,4,3,3,,,76,112.7,118.7,91.2,,57,,
146,Randy Jordan,OAK,RB,30,16,0,0,0,0,0,0,46,213,4.63,3,32,27,299,11.07,1,1,,4,,,75,102.2,108.2,88.7,,38,,
147,Torrance Small,PHI,WR,30,14,14,0,1,0,0,1,1,1,1.00,0,94,40,569,14.23,3,0,,3,1,,75,115.0,119.0,96.0,,58,,
148,Fred Beasley,SFO,RB,26,15,15,0,0,0,0,0,50,147,2.94,3,51,31,233,7.52,3,0,,6,,,74,105.0,111.0,89.5,,39,,
149,Tim Couch,CLE,QB,23,7,7,137,215,1483,7,9,12,45,3.75,0,0,0,0,,0,2,,0,,,74,73.8,85.8,82.8,,35,,
150,Jeff George,WAS,QB,33,6,5,113,194,1389,7,6,7,24,3.43,0,0,0,0,,0,3,1,0,,,74,72.0,82.0,78.0,,34,,
151,Eddie Kennison,CHI,WR,27,16,10,0,0,0,0,0,3,72,24.00,0,95,55,549,9.98,2,1,,2,,,74,129.1,132.1,101.6,,59,,
152,Akili Smith,CIN,QB,25,12,11,118,267,1253,3,6,41,232,5.66,0,0,0,0,,0,14,8,0,,,73,57.3,77.3,63.3,,36,,
153,J.J. Stokes,SFO,WR,28,16,3,0,0,0,0,0,1,6,6.00,0,53,30,524,17.47,3,0,,3,1,,73,103.0,106.0,88.0,,60,,
154,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
155,Jim Harbaugh,SDG,QB,37,7,5,123,202,1416,8,10,16,24,1.50,0,0,0,0,,0,5,3,0,,,71,65.0,81.0,75.0,,37,,
156,J.R. Redmond,NWE,RB,23,12,5,0,0,0,0,0,125,406,3.25,1,29,20,126,6.30,2,2,,3,,,71,91.2,97.2,81.2,,40,,
157,Thomas Jones,ARI,RB,22,14,4,0,0,0,0,0,112,373,3.33,2,46,32,208,6.50,0,4,3,2,,,70,96.1,105.1,80.1,,41,,
158,Troy Aikman,DAL,QB,34,11,11,156,262,1632,7,14,10,13,1.30,0,0,0,0,,0,2,2,0,,1,69,64.6,83.6,78.6,,38,,
