,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,
143,John Brockington,2TM,RB,29,11,7,0,0,0,0,0,65,186,2.86,1,21,223,10.62,1,0,,2,,,53,73.9,79.9,63.4,,65,,
144,Roosevelt Leaks,BAL,RB,24,11,10,0,0,0,0,0,59,237,4.02,3,3,39,13.00,1,3,,4,,,52,51.6,56.1,50.1,,67,,
145,Scott Hunter,ATL,QB,30,7,7,70,151,898,2,3,28,70,2.50,1,0,0,,0,3,,1,,,51,47.9,55.4,50.9,,27,,
146,Herb Lusk,PHI,RB,24,11,0,0,0,0,0,0,52,229,4.40,2,5,102,20.40,1,1,,3,,,51,55.1,61.6,52.6,,69,,
147,Gary Parris,CLE,TE,27,14,6,0,0,0,0,0,0,0,,0,21,213,10.14,5,1,,5,,,51,71.3,74.8,60.8,,14,,
148,Joe Washington,SDG,RB,24,13,0,1,1,32,1,0,62,217,3.50,0,31,244,7.87,0,1,,0,,,51,81.4,87.9,65.9,,68,,
149,Larry Poole,CLE,RB,25,13,0,0,0,0,0,0,38,118,3.11,1,17,137,8.06,3,1,,4,,,50,65.5,72.0,57.0,,71,,
150,Wendell Tyler,RAM,RB,22,14,0,0,0,0,0,0,61,317,5.20,3,1,3,3.00,0,4,,3,,,50,47.0,52.0,46.5,,70,,
151,Duke Fergerson,SEA,WR,23,13,8,0,0,0,0,0,0,0,,0,19,374,19.68,2,1,,2,,,49,67.4,70.9,57.9,,35,,
152,Clarence Harmon,WAS,RB,22,12,9,0,0,0,0,0,94,310,3.30,0,14,119,8.50,1,1,,1,,,49,61.9,68.4,54.9,,72,,
153,Lynn Dickey,GNB,QB,28,9,9,113,220,1346,5,14,5,24,4.80,0,0,0,,0,1,,0,,,48,47.2,64.7,61.2,,28,,
154,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
155,Eric Torkelson,GNB,RB,25,14,7,0,0,0,0,0,103,309,3.00,1,11,107,9.73,0,4,,1,,,48,54.6,62.6,49.1,,73,,
156,Bennie Cunningham,PIT,TE,23,12,11,0,0,0,0,0,0,0,,0,20,347,17.35,2,0,,2,,,47,66.7,69.7,56.7,,16,,
157,Russ Francis *,NWE,TE,24,10,10,0,0,0,0,0,0,0,,0,16,229,14.31,4,0,,4,,,47,62.9,65.9,54.9,,15,,
158,Calvin Hill,WAS,RB,30,14,1,0,0,0,0,0,69,257,3.72,0,18,154,8.56,1,3,,1,,,47,62.1,69.6,53.1,,75,,
159,Jim Otis,STL,RB,29,13,7,0,0,0,0,0,99,334,3.37,2,2,18,9.00,0,2,,2,,,47,47.2,51.2,46.2,,74,,
160,Isaac Curtis,CIN,WR,27,8,8,0,0,0,0,0,0,0,,0,20,338,16.90,2,0,,2,,,46,65.8,68.8,55.8,,37,,
161,Wallace Francis,ATL,WR,26,14,14,0,0,0,0,0,4,6,1.50,0,26,390,15.00,1,0,,1,,,46,71.6,74.6,58.6,,38,,
162,Mike Siani,OAK,WR,27,12,0,0,0,0,0,0,0,0,,0,24,344,14.33,2,0,,2,,,46,70.4,73.4,58.4,,36,,
163,J.V. Cain,STL,TE,26,13,13,0,0,0,0,0,0,0,,0,25,328,13.12,2,0,,2,,,45,69.8,72.8,57.3,,17,,
164,Anthony Davis,TAM,RB,25,11,6,0,0,0,0,0,95,297,3.13,1,8,91,11.38,0,5,,1,,,45,47.8,53.3,43.8,,76,,
165,Billy Waddy,RAM,WR,23,14,8,0,0,0,0,0,2,34,17.00,0,23,355,15.43,1,8,,1,,,45,59.9,66.9,48.4,,39,,
