Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,Unnamed: 32,Year,Tgt
Freddie Solomon,SFO,WR,30.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,31.0,662.0,21.35,4.0,1.0,,4.0,0.0,0.0,91.0,120.5,124.0,105.0,2.0,29.0,,1983,0.0
George Rogers,NOR,RB,25.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,256.0,1144.0,4.47,5.0,12.0,69.0,5.75,0.0,8.0,,5.0,0.0,0.0,151.0,155.3,162.3,149.3,1.0,23.0,,1983,0.0
Vince Ferragamo,RAM,QB,29.0,16.0,16.0,274.0,464.0,3276.0,22.0,23.0,22.0,17.0,0.77,0.0,0.0,0.0,0.0,0.0,8.0,,0.0,0.0,0.0,175.0,166.7,196.7,189.7,0.0,12.0,,1983,0.0
Theotis Brown,2TM,RB,26.0,15.0,9.0,1.0,1.0,11.0,0.0,0.0,130.0,481.0,3.7,8.0,47.0,418.0,8.89,2.0,4.0,,10.0,0.0,0.0,150.0,193.3,201.3,169.8,0.0,24.0,,1983,0.0
Dan Ross,CIN,TE,26.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,483.0,11.5,3.0,0.0,,3.0,0.0,0.0,66.0,108.3,111.3,87.3,0.0,12.0,,1983,0.0
Stephone Paige,KAN,WR,22.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,528.0,17.6,6.0,1.0,,6.0,0.0,0.0,89.0,117.8,121.3,102.8,0.0,30.0,,1983,0.0
Dan Fouts*,SDG,QB,32.0,10.0,10.0,215.0,340.0,2975.0,20.0,15.0,12.0,-5.0,-0.42,1.0,0.0,0.0,0.0,0.0,5.0,,1.0,0.0,0.0,175.0,169.5,190.0,184.5,0.0,13.0,,1983,0.0
Dan Marino*,MIA,QB,22.0,11.0,9.0,173.0,296.0,2210.0,20.0,6.0,28.0,45.0,1.61,2.0,0.0,0.0,0.0,0.0,5.0,,2.0,0.0,0.0,173.0,167.9,179.4,173.9,0.0,14.0,,1983,0.0
Jim Plunkett,RAI,QB,36.0,14.0,13.0,230.0,379.0,2935.0,20.0,18.0,26.0,78.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,,0.0,0.0,0.0,169.0,162.2,186.7,180.2,0.0,16.0,,1983,0.0
Richard Todd,NYJ,QB,30.0,16.0,16.0,308.0,518.0,3478.0,18.0,26.0,35.0,101.0,2.89,0.0,0.0,0.0,0.0,0.0,5.0,,0.0,0.0,0.0,169.0,164.2,198.7,190.2,0.0,15.0,,1983,0.0
Jim McMahon,CHI,QB,24.0,14.0,13.0,175.0,295.0,2184.0,12.0,13.0,55.0,307.0,5.58,2.0,1.0,18.0,18.0,1.0,4.0,,3.0,0.0,0.0,160.0,156.9,177.9,169.4,0.0,17.0,,1983,0.0
Steve Grogan,NWE,QB,30.0,12.0,12.0,168.0,303.0,2411.0,15.0,12.0,23.0,108.0,4.7,2.0,1.0,-8.0,-8.0,0.0,4.0,,2.0,0.0,0.0,154.0,151.4,171.4,162.9,0.0,18.0,,1983,0.0
